Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
274695,2018,21700677,Anthony Davis,NOP,"JAN 20, 2018",NOP vs. MEM,W,38,7,13.0,0.538,0.0,0.0,0.0,7,8.0,0.875,2.0,10.0,12.0,2.0,0.0,2.0,2.0,3.0,21,5.0,1
274694,2018,21700692,Anthony Davis,NOP,"JAN 22, 2018",NOP vs. CHI,W,43,14,23.0,0.609,0.0,0.0,0.0,6,8.0,0.75,3.0,6.0,9.0,5.0,2.0,1.0,2.0,6.0,34,2.0,1
274693,2018,21700701,Anthony Davis,NOP,"JAN 24, 2018",NOP @ CHA,W,37,7,16.0,0.438,0.0,0.0,0.0,5,5.0,1.0,1.0,5.0,6.0,4.0,3.0,2.0,1.0,3.0,19,4.0,1
274692,2018,21700720,Anthony Davis,NOP,"JAN 26, 2018",NOP vs. HOU,W,37,10,22.0,0.455,0.0,1.0,0.0,7,8.0,0.875,1.0,10.0,11.0,5.0,0.0,5.0,1.0,2.0,27,-4.0,1
274664,2018,21701150,Anthony Davis,NOP,"APR 01, 2018",NOP vs. OKC,L,40,8,17.0,0.471,0.0,0.0,0.0,9,11.0,0.818,3.0,8.0,11.0,3.0,3.0,2.0,4.0,5.0,25,-10.0,1
274662,2018,21701189,Anthony Davis,NOP,"APR 06, 2018",NOP @ PHX,W,34,11,23.0,0.478,2.0,4.0,0.5,9,11.0,0.818,1.0,10.0,11.0,3.0,2.0,3.0,0.0,2.0,33,28.0,1
274661,2018,21701195,Anthony Davis,NOP,"APR 07, 2018",NOP @ GSW,W,40,13,24.0,0.542,0.0,1.0,0.0,8,10.0,0.8,3.0,9.0,12.0,4.0,2.0,4.0,2.0,2.0,34,2.0,1
274634,2018,21800393,Anthony Davis,NOP,"DEC 10, 2018",NOP @ BOS,L,38,17,34.0,0.5,0.0,2.0,0.0,7,9.0,0.778,3.0,4.0,7.0,2.0,4.0,0.0,0.0,1.0,41,-18.0,1
274633,2018,21800411,Anthony Davis,NOP,"DEC 12, 2018",NOP vs. OKC,W,40,16,32.0,0.5,1.0,3.0,0.333,11,11.0,1.0,6.0,12.0,18.0,2.0,2.0,1.0,3.0,5.0,44,7.0,1
274632,2018,21800441,Anthony Davis,NOP,"DEC 16, 2018",NOP vs. MIA,L,39,10,19.0,0.526,2.0,3.0,0.667,5,6.0,0.833,3.0,9.0,12.0,7.0,3.0,3.0,1.0,1.0,27,-2.0,1
274631,2018,21800462,Anthony Davis,NOP,"DEC 19, 2018",NOP @ MIL,L,29,10,18.0,0.556,4.0,9.0,0.444,3,6.0,0.5,0.0,11.0,11.0,3.0,2.0,3.0,3.0,2.0,27,-13.0,1
274630,2018,21800478,Anthony Davis,NOP,"DEC 21, 2018",NOP @ LAL,L,39,12,23.0,0.522,1.0,4.0,0.25,5,8.0,0.625,5.0,15.0,20.0,5.0,0.0,1.0,1.0,2.0,30,-9.0,1
274629,2018,21800492,Anthony Davis,NOP,"DEC 23, 2018",NOP @ SAC,L,40,7,20.0,0.35,1.0,5.0,0.2,11,12.0,0.917,2.0,15.0,17.0,4.0,2.0,4.0,1.0,2.0,26,-3.0,1
274628,2018,21800509,Anthony Davis,NOP,"DEC 26, 2018",NOP @ DAL,L,34,14,26.0,0.538,1.0,5.0,0.2,3,5.0,0.6,3.0,15.0,18.0,2.0,1.0,1.0,2.0,4.0,32,-12.0,1
274627,2018,21800523,Anthony Davis,NOP,"DEC 28, 2018",NOP vs. DAL,W,43,20,32.0,0.625,0.0,2.0,0.0,8,11.0,0.727,7.0,10.0,17.0,4.0,2.0,2.0,1.0,3.0,48,2.0,1
274626,2018,21800528,Anthony Davis,NOP,"DEC 29, 2018",NOP vs. HOU,L,39,6,13.0,0.462,2.0,3.0,0.667,8,10.0,0.8,2.0,9.0,11.0,1.0,3.0,1.0,1.0,0.0,22,0.0,1
274691,2018,21700733,Anthony Davis,NOP,"JAN 28, 2018",NOP vs. LAC,L,41,8,17.0,0.471,0.0,2.0,0.0,9,12.0,0.75,2.0,15.0,17.0,6.0,2.0,1.0,4.0,3.0,25,-21.0,1
274671,2018,21701047,Anthony Davis,NOP,"MAR 18, 2018",NOP vs. BOS,W,33,14,24.0,0.583,0.0,3.0,0.0,6,8.0,0.75,1.0,10.0,11.0,3.0,1.0,1.0,1.0,0.0,34,15.0,1
274670,2018,21701061,Anthony Davis,NOP,"MAR 20, 2018",NOP vs. DAL,W,35,15,21.0,0.714,2.0,3.0,0.667,5,7.0,0.714,0.0,8.0,8.0,2.0,0.0,2.0,1.0,2.0,37,14.0,1
274669,2018,21700809,Anthony Davis,NOP,"MAR 21, 2018",NOP vs. IND,W,35,9,14.0,0.643,1.0,1.0,1.0,9,9.0,1.0,2.0,11.0,13.0,1.0,1.0,5.0,3.0,2.0,28,9.0,1
274668,2018,21701075,Anthony Davis,NOP,"MAR 22, 2018",NOP vs. LAL,W,37,12,20.0,0.6,0.0,2.0,0.0,9,10.0,0.9,0.0,9.0,9.0,1.0,3.0,2.0,0.0,3.0,33,14.0,1
274667,2018,21701091,Anthony Davis,NOP,"MAR 24, 2018",NOP @ HOU,L,30,10,22.0,0.455,1.0,2.0,0.5,4,6.0,0.667,2.0,6.0,8.0,1.0,2.0,4.0,1.0,1.0,25,-11.0,1
274666,2018,21701112,Anthony Davis,NOP,"MAR 27, 2018",NOP vs. POR,L,39,15,24.0,0.625,0.0,0.0,0.0,6,6.0,1.0,3.0,11.0,14.0,4.0,2.0,6.0,4.0,2.0,36,5.0,1
274665,2018,21701131,Anthony Davis,NOP,"MAR 30, 2018",NOP @ CLE,L,37,6,19.0,0.316,0.0,2.0,0.0,4,4.0,1.0,1.0,7.0,8.0,3.0,1.0,2.0,1.0,2.0,16,-20.0,1
274688,2018,21700780,Anthony Davis,NOP,"FEB 03, 2018",NOP @ MIN,L,36,16,30.0,0.533,1.0,4.0,0.25,5,5.0,1.0,5.0,4.0,9.0,1.0,2.0,1.0,2.0,1.0,38,-4.0,1
274689,2018,21700772,Anthony Davis,NOP,"FEB 02, 2018",NOP @ OKC,W,38,17,34.0,0.5,3.0,6.0,0.5,6,8.0,0.75,0.0,10.0,10.0,0.0,3.0,1.0,5.0,4.0,43,12.0,1
274690,2018,21700749,Anthony Davis,NOP,"JAN 30, 2018",NOP vs. SAC,L,36,6,16.0,0.375,2.0,3.0,0.667,9,10.0,0.9,0.0,13.0,13.0,5.0,1.0,6.0,4.0,1.0,23,-13.0,1
274702,2018,21700564,Anthony Davis,NOP,"JAN 03, 2018",NOP @ UTA,W,41,11,26.0,0.423,1.0,3.0,0.333,6,6.0,1.0,4.0,11.0,15.0,4.0,3.0,1.0,2.0,2.0,29,16.0,1
274701,2018,21700584,Anthony Davis,NOP,"JAN 06, 2018",NOP @ MIN,L,36,5,12.0,0.417,0.0,1.0,0.0,6,6.0,1.0,1.0,8.0,9.0,2.0,1.0,2.0,1.0,1.0,16,-26.0,1
274700,2018,21700595,Anthony Davis,NOP,"JAN 08, 2018",NOP vs. DET,W,27,12,14.0,0.857,1.0,1.0,1.0,5,6.0,0.833,2.0,8.0,10.0,1.0,0.0,1.0,0.0,1.0,30,19.0,1
274699,2018,21700624,Anthony Davis,NOP,"JAN 12, 2018",NOP vs. POR,W,41,16,23.0,0.696,0.0,1.0,0.0,4,4.0,1.0,5.0,4.0,9.0,2.0,0.0,2.0,2.0,3.0,36,-5.0,1
274698,2018,21700635,Anthony Davis,NOP,"JAN 14, 2018",NOP @ NYK,W,50,17,30.0,0.567,2.0,6.0,0.333,12,15.0,0.8,6.0,11.0,17.0,0.0,4.0,3.0,4.0,2.0,48,0.0,1
274697,2018,21700650,Anthony Davis,NOP,"JAN 16, 2018",NOP @ BOS,W,45,16,34.0,0.471,0.0,3.0,0.0,13,15.0,0.867,8.0,8.0,16.0,2.0,1.0,2.0,1.0,2.0,45,11.0,1
274696,2018,21700654,Anthony Davis,NOP,"JAN 17, 2018",NOP @ ATL,L,38,2,8.0,0.25,0.0,0.0,0.0,4,6.0,0.667,1.0,6.0,7.0,3.0,1.0,2.0,0.0,2.0,8,-1.0,1
274672,2018,21701036,Anthony Davis,NOP,"MAR 17, 2018",NOP vs. HOU,L,36,11,18.0,0.611,0.0,2.0,0.0,4,4.0,1.0,1.0,12.0,13.0,1.0,0.0,1.0,2.0,2.0,26,-12.0,1
274647,2018,21800222,Anthony Davis,NOP,"NOV 16, 2018",NOP vs. NYK,W,40,16,25.0,0.64,1.0,4.0,0.25,10,15.0,0.667,4.0,13.0,17.0,5.0,1.0,1.0,2.0,2.0,43,10.0,1
274646,2018,21800228,Anthony Davis,NOP,"NOV 17, 2018",NOP vs. DEN,W,38,10,20.0,0.5,0.0,1.0,0.0,20,21.0,0.952,4.0,4.0,8.0,8.0,0.0,1.0,0.0,4.0,40,11.0,1
274645,2018,21800246,Anthony Davis,NOP,"NOV 19, 2018",NOP vs. SAS,W,32,13,22.0,0.591,0.0,1.0,0.0,3,3.0,1.0,3.0,6.0,9.0,4.0,2.0,2.0,2.0,1.0,29,7.0,1
274644,2018,21800253,Anthony Davis,NOP,"NOV 21, 2018",NOP @ PHI,L,41,4,13.0,0.308,0.0,2.0,0.0,4,7.0,0.571,6.0,10.0,16.0,6.0,5.0,5.0,6.0,3.0,12,-7.0,1
274643,2018,21800269,Anthony Davis,NOP,"NOV 23, 2018",NOP @ NYK,L,32,12,19.0,0.632,1.0,1.0,1.0,8,10.0,0.8,3.0,8.0,11.0,4.0,0.0,0.0,0.0,3.0,33,-6.0,1
